"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.065464167E0,2.771987915E-1,-4.507176590E1,9.285575867E0,4.601915731E1
1.075453167E0,2.566623688E-1,-4.512334061E1,9.224166870E0,4.605721439E1
1.085442167E0,3.329715729E-1,-4.516617203E1,9.305297852E0,4.611596832E1
1.095431167E0,1.986465454E-1,-4.511772537E1,9.376068115E0,4.608209258E1
1.105420167E0,2.255306244E-1,-4.503053665E1,9.362007141E0,4.599399170E1
1.115409167E0,1.928691864E-1,-4.500117874E1,9.359588623E0,4.596460797E1
1.125398167E0,2.701511383E-1,-4.504756165E1,9.482658386E0,4.603560146E1
1.135386167E0,3.837871552E-1,-4.506193161E1,9.459663391E0,4.604574035E1
1.145375167E0,4.764823914E-1,-4.507518768E1,9.320716858E0,4.603124312E1
1.155364167E0,6.388893127E-1,-4.522716904E1,9.177810669E0,4.615340949E1
1.165353167E0,8.447685242E-1,-4.528891373E1,9.120590210E0,4.620589255E1
1.175342167E0,7.776775360E-1,-4.528306198E1,9.343360901E0,4.624347389E1
1.185331167E0,8.220596313E-1,-4.524319077E1,9.105384827E0,4.615766595E1
1.195320167E0,9.339389801E-1,-4.527033234E1,9.067817688E0,4.617900551E1
1.205309167E0,8.838233948E-1,-4.510945892E1,9.120758057E0,4.603077944E1
1.215298167E0,9.441719055E-1,-4.511466217E1,9.174507141E0,4.604775548E1
1.225286167E0,8.343181610E-1,-4.512549973E1,9.091362000E0,4.603976189E1
1.235275167E0,9.386386871E-1,-4.522983932E1,9.145294189E0,4.615469438E1
1.245264167E0,9.653720856E-1,-4.524362183E1,9.119453430E0,4.616364035E1
1.255253167E0,1.164720535E0,-4.529657745E1,9.037719727E0,4.620407862E1
1.265242167E0,1.121957779E0,-4.531455231E1,8.989593506E0,4.621125654E1
1.275231167E0,1.265602112E0,-4.541569901E1,8.934219360E0,4.630343119E1
1.285220167E0,1.245943069E0,-4.531732559E1,8.667572021E0,4.615559747E1
1.295209167E0,1.221921921E0,-4.527557373E1,8.848724365E0,4.614835417E1
1.305198167E0,1.104463577E0,-4.531440353E1,8.899406433E0,4.619322940E1
