"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.344677583E0,2.430243301E1,-2.723546410E1,-2.228768158E1,4.276820671E1
1.354665583E0,2.449498367E1,-2.756231880E1,-2.181742096E1,4.284490052E1
1.364653583E0,2.445079231E1,-2.772868919E1,-2.154783630E1,4.279054450E1
1.374641583E0,2.435513306E1,-2.789191246E1,-2.157278442E1,4.285459502E1
1.384629583E0,2.438570786E1,-2.791148186E1,-2.142332458E1,4.280972323E1
1.394617583E0,2.435758018E1,-2.795691872E1,-2.125936890E1,4.274156972E1
1.404605583E0,2.425245476E1,-2.797663689E1,-2.116055298E1,4.264554813E1
1.414594583E0,2.424133301E1,-2.830588722E1,-2.092832947E1,4.274178812E1
1.424582583E0,2.429270363E1,-2.835556221E1,-2.077816010E1,4.273061309E1
1.434570583E0,2.418120193E1,-2.863538933E1,-2.090634918E1,4.291609820E1
1.444558583E0,2.387727547E1,-2.870955849E1,-2.078274536E1,4.273506215E1
1.454546583E0,2.382905769E1,-2.866702843E1,-2.083777618E1,4.270638624E1
1.464534583E0,2.348810577E1,-2.878422356E1,-2.102648163E1,4.268882252E1
1.474522583E0,2.355554008E1,-2.896634102E1,-2.092013550E1,4.279678084E1
1.484510583E0,2.330606842E1,-2.896879005E1,-2.087187958E1,4.263799924E1
1.494498583E0,2.323962784E1,-2.911931801E1,-2.089952850E1,4.271773958E1
1.504486583E0,2.325312805E1,-2.920205879E1,-2.059075928E1,4.263153257E1
1.514474583E0,2.314057350E1,-2.944941902E1,-2.076429749E1,4.282418093E1
1.524462583E0,2.299895287E1,-2.936329460E1,-2.063414001E1,4.262537550E1
1.534451583E0,2.277696228E1,-2.949631310E1,-2.057204437E1,4.256796338E1
1.544439583E0,2.266607857E1,-2.955830002E1,-2.052459717E1,4.252885264E1
1.554427583E0,2.262856102E1,-2.961819458E1,-2.051110840E1,4.254403356E1
1.564415583E0,2.243498611E1,-2.972647858E1,-2.047262573E1,4.249847685E1
1.574403583E0,2.243212700E1,-2.983216858E1,-2.035202789E1,4.251309967E1
1.584391583E0,2.239945984E1,-2.995460129E1,-2.010327911E1,4.246358170E1
1.594379583E0,2.245963097E1,-3.033221817E1,-2.004025269E1,4.273277676E1
1.604367583E0,2.228702545E1,-3.030466080E1,-1.991808319E1,4.256540858E1
