"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
9.686117852E1,4.133754820E1,1.982140940E1,1.197925986E2,1.606105105E2,6.862030494E-1,NaN,3.678029960E-1,6.297261510E0,5.710086771E0,-1.000000000E0
9.786119163E1,4.133754962E1,1.982140892E1,1.198373488E2,1.606552640E2,1.592594972E-1,NaN,3.680093128E-1,6.297269580E0,5.943808782E0,-1.000000000E0
9.886120474E1,4.133755121E1,1.982141019E1,1.199411705E2,1.607590992E2,1.532476042E-1,NaN,3.680916452E-1,6.297277439E0,6.080276675E0,-1.000000000E0
9.986121857E1,4.133755099E1,1.982140925E1,1.197810222E2,1.605989448E2,1.751297766E-1,NaN,3.699697201E-1,6.297285533E0,6.154664840E0,-1.000000000E0
1.008612313E2,4.133755800E1,1.982142972E1,1.197995172E2,1.606175814E2,1.563139247E-1,NaN,3.701001159E-1,6.132696338E0,6.218937368E0,-1.000000000E0
1.018612453E2,4.133755911E1,1.982143021E1,1.197356078E2,1.605536793E2,2.190891750E-1,NaN,3.703988869E-1,6.132704534E0,5.480341113E0,-1.000000000E0
1.028612580E2,4.133756077E1,1.982143302E1,1.199214420E2,1.607395358E2,6.441641757E-1,NaN,3.712205105E-1,6.132712856E0,4.602510291E0,-1.000000000E0
1.038612717E2,4.133756812E1,1.982143399E1,1.198559320E2,1.606740616E2,1.417822637E0,5.641229752E0,3.716570983E-1,6.132721077E0,4.186054963E0,-1.000000000E0
1.048612840E2,4.133756421E1,1.982143365E1,1.195477782E2,1.603658898E2,9.358260691E-1,NaN,3.717174392E-1,6.619855802E0,3.965002756E0,-1.000000000E0
1.058612975E2,4.133756388E1,1.982143423E1,1.194839883E2,1.603021017E2,2.066903808E-1,NaN,3.720898518E-1,6.619863245E0,4.837987805E0,-1.000000000E0
1.068613104E2,4.133756689E1,1.982143619E1,1.194153572E2,1.602334938E2,1.141427591E-1,NaN,3.721652378E-1,6.619870808E0,5.223137770E0,-1.000000000E0
1.078613237E2,4.133756658E1,1.982143539E1,1.189997228E2,1.598178537E2,4.657585212E-1,NaN,3.723217981E-1,6.619878326E0,5.359095175E0,-1.000000000E0
1.088613371E2,4.133756798E1,1.982143529E1,1.190957714E2,1.599139076E2,3.179434085E-1,NaN,3.725615957E-1,6.619885746E0,5.691058777E0,-1.000000000E0
1.098613496E2,4.133756976E1,1.982143692E1,1.188614408E2,1.596795933E2,1.273242171E-1,NaN,3.729852663E-1,6.619893238E0,5.893741156E0,-1.000000000E0
1.108613628E2,4.133756699E1,1.982144040E1,1.198761204E2,1.606942806E2,7.593313062E-2,NaN,3.731911208E-1,6.619900885E0,6.232387422E0,-1.000000000E0
1.118613765E2,4.133756519E1,1.982143982E1,1.199542568E2,1.607724063E2,3.155409776E-1,NaN,3.736107910E-1,6.619908524E0,6.420168749E0,-1.000000000E0
1.128613893E2,4.133756413E1,1.982143499E1,1.198872194E2,1.607053381E2,3.979070808E-2,NaN,3.737491010E-1,6.619916091E0,6.605832079E0,-1.000000000E0
1.138614012E2,4.133756370E1,1.982143344E1,1.201200763E2,1.609381846E2,4.122402240E-2,NaN,3.738776874E-1,6.619923539E0,6.697992353E0,-1.000000000E0
1.148614155E2,4.133756296E1,1.982143225E1,1.202849677E2,1.611030664E2,1.167449773E-1,NaN,3.739474506E-1,6.619931099E0,6.808264764E0,-1.000000000E0
1.158614291E2,4.133756319E1,1.982143147E1,1.203348338E2,1.611529291E2,2.419103586E-1,NaN,3.741434672E-1,6.619938708E0,6.843848591E0,-1.000000000E0
1.168614413E2,4.133756282E1,1.982142917E1,1.204066135E2,1.612246947E2,3.849895515E-1,NaN,3.743995479E-1,6.619946242E0,6.887056881E0,-1.000000000E0
1.178614535E2,4.133756161E1,1.982142656E1,1.202460518E2,1.610641137E2,4.191044113E-1,NaN,3.744849008E-1,6.619953763E0,7.015056214E0,-1.000000000E0
1.188614668E2,4.133756213E1,1.982142581E1,1.203109487E2,1.611290085E2,1.155799447E-1,NaN,3.746120492E-1,6.619961320E0,7.055484179E0,-1.000000000E0
1.198614802E2,4.133756299E1,1.982142681E1,1.201709423E2,1.609890112E2,7.274288988E-1,NaN,3.747867958E-1,6.619968871E0,7.044382390E0,-1.000000000E0
1.208614930E2,4.133756241E1,1.982142486E1,1.202728767E2,1.610909325E2,5.836217408E-1,NaN,3.749248121E-1,6.619976430E0,7.055710077E0,-1.000000000E0
1.218615060E2,4.133756308E1,1.982142347E1,1.201946580E2,1.610127089E2,1.160075761E-1,NaN,3.752059471E-1,6.619983862E0,7.016390571E0,-1.000000000E0
1.228615181E2,4.133756561E1,1.982142346E1,1.206122707E2,1.614303319E2,7.333637132E-2,NaN,3.753440692E-1,6.619991407E0,7.230326427E0,-1.000000000E0
1.238615317E2,4.133756480E1,1.982142220E1,1.204972772E2,1.613153282E2,3.962310508E-2,NaN,3.754409632E-1,6.619998983E0,7.168058573E0,-1.000000000E0
1.248615441E2,4.133756555E1,1.982142278E1,1.207746011E2,1.615926584E2,1.971194429E-1,NaN,3.755186693E-1,6.620006569E0,7.235474093E0,-1.000000000E0
1.258615574E2,4.133756607E1,1.982142215E1,1.208110660E2,1.616291221E2,2.242059326E-1,NaN,3.755624435E-1,6.620014070E0,7.170626515E0,-1.000000000E0
1.268615705E2,4.133756646E1,1.982142208E1,1.205903508E2,1.614084080E2,3.379383420E-1,NaN,3.755928189E-1,6.620021656E0,6.157936689E0,-1.000000000E0
1.278615829E2,4.133756645E1,1.982142171E1,1.206011521E2,1.614192073E2,1.736271542E-1,NaN,3.756157716E-1,6.620029226E0,6.596170439E0,-1.000000000E0
1.288615962E2,4.133756633E1,1.982142150E1,1.206122940E2,1.614303475E2,1.605841867E-1,NaN,3.757544181E-1,6.620036789E0,6.749692651E0,-1.000000000E0
1.298616083E2,4.133756544E1,1.982142033E1,1.205596083E2,1.613776516E2,5.349742736E-2,NaN,3.758462174E-1,6.620044385E0,6.751275068E0,-1.000000000E0
1.308616208E2,4.133756509E1,1.982141934E1,1.203815559E2,1.611995923E2,1.888974587E-1,NaN,3.760693692E-1,6.620052004E0,6.868341376E0,-1.000000000E0
